Date,sentiment_mean,n_news
2008-01-02,0.1626452108224233,3
2008-01-03,0.9999986886978149,1
2008-01-07,0.9838523864746094,1
2008-01-09,-0.4923172891139984,2
2008-01-10,0.0,1
2008-01-22,0.0030207782983779907,4
2008-01-29,0.0,1
2008-01-30,0.0,1
2008-02-01,-0.9999924898147583,1
2008-02-05,-0.6666535139083862,3
2008-02-11,-0.7822534739971161,2
2008-02-21,0.0,1
2008-02-22,-0.49959293007850647,2
2008-02-28,0.0,1
2008-02-29,-0.9996320009231567,1
2008-03-05,0.0,1
2008-03-07,-0.4992043077945709,2
2008-03-10,-0.999359667301178,1
2008-03-11,0.0,1
2008-03-18,0.0,1
2008-03-27,-0.999970555305481,1
2008-04-02,0.9708686470985413,1
2008-04-07,0.0,1
2008-04-16,0.4999890923500061,2
2008-04-22,0.0,1
2008-04-23,-0.9999935626983643,1
2008-04-24,-0.9999992847442627,1
2008-04-25,0.0,1
2008-05-05,0.0,1
2008-05-06,0.9887941479682922,1
2008-05-07,0.0,1
2008-05-08,-0.9999539852142334,1
2008-05-12,0.0031219124794006348,3
2008-05-16,-0.9883434772491455,1
2008-05-21,0.9952418804168701,1
2008-05-23,0.0,1
2008-05-27,0.0,1
2008-05-29,-0.9997627139091492,1
2008-06-02,-0.9994508624076843,1
2008-06-04,0.9999998807907104,2
2008-06-05,0.9999986886978149,1
2008-06-09,-0.9874349534511566,2
2008-06-13,0.9941562414169312,1
2008-06-20,-0.9998552799224854,1
2008-06-24,0.4999324679374695,2
2008-07-01,0.0,1
2008-07-02,-0.8649051487445831,2
2008-07-07,0.9987167119979858,1
2008-07-09,0.0,1
2008-07-14,0.0,1
2008-07-23,0.0,1
2008-07-29,0.7259486317634583,1
2008-07-31,0.0,1
2008-08-01,0.9999955892562866,1
2008-08-04,1.0,1
2008-08-08,0.0,1
2008-08-13,-0.8848802447319031,1
2008-08-14,0.0,1
2008-08-19,0.0,2
2008-08-26,0.49967750906944275,2
2008-08-27,0.0,2
2008-08-28,0.0,1
2008-09-03,-0.999996542930603,1
2008-09-09,0.0,1
2008-09-10,0.0,1
2008-09-11,0.0,1
2008-09-15,-0.9996991157531738,1
2008-09-16,-0.9779280722141266,2
2008-09-17,-0.9994660019874573,1
2008-09-19,0.0,1
2008-09-24,0.0,1
2008-09-26,0.0,1
2008-09-29,-0.6652292807896932,3
2008-10-01,0.0,1
2008-10-06,0.0,1
2008-10-07,-0.9160428047180176,1
2008-10-13,-0.9999997615814209,1
2008-10-15,0.0,2
2008-10-17,0.0,2
2008-10-20,0.0,1
2008-10-21,0.0,1
2008-10-23,-0.4999706745147705,2
2008-10-24,-0.4999532103538513,2
2008-10-29,0.0,1
2008-10-30,-0.49111583828926086,2
2008-11-03,0.00042754411697387695,3
2008-11-04,0.0,1
2008-11-05,0.0,1
2008-11-07,0.0,1
2008-11-10,0.0,1
2008-11-11,-0.1579042673110962,2
2008-11-17,-0.9988740682601929,2
2008-11-21,0.0,1
2008-11-24,0.9999973773956299,1
2008-11-26,0.0,1
2008-12-01,0.0,1
2008-12-02,0.0,1
2008-12-03,0.9999977350234985,1
2008-12-04,-0.9999984502792358,1
2008-12-09,-0.9925691485404968,1
2008-12-11,0.49992793798446655,2
2008-12-17,-0.9999419450759888,1
2008-12-18,0.0,1
2008-12-24,0.0,1
2008-12-30,-0.4993486702442169,2
2008-12-31,0.0,1
2009-01-07,-0.9999998807907104,1
2009-01-08,0.9989805817604065,1
2009-01-12,-0.9716194868087769,1
2009-01-20,0.0,1
2009-01-21,-0.49541667103767395,2
2009-01-23,0.0,1
2009-01-28,-0.4873613119125366,2
2009-01-30,0.0,1
2009-02-02,0.0,1
2009-02-09,0.0,1
2009-02-17,-0.9342448711395264,1
2009-02-18,-0.43307435512542725,2
2009-02-23,0.0,1
2009-02-25,0.0,1
2009-03-02,0.0,1
2009-03-03,-0.9985405206680298,1
2009-03-04,-0.999991774559021,1
2009-03-05,0.0,1
2009-03-09,0.0,1
2009-03-13,0.0,1
2009-03-18,0.0,1
2009-03-26,-0.48193079233169556,1
2009-04-06,-7.641315460205078e-05,2
2009-04-13,-0.9698842167854309,1
2009-04-17,0.0,1
2009-04-28,-0.999772846698761,1
2009-04-30,-0.4999464154243469,2
2009-05-07,0.9997145533561707,1
2009-05-11,0.12718155980110168,2
2009-05-29,0.0,1
2009-06-01,0.0,2
2009-06-05,0.0,1
2009-06-11,0.0,2
2009-06-17,0.31360958019892377,3
2009-06-19,0.0,1
2009-06-24,0.0,1
2009-07-01,0.0,2
2009-07-02,0.0,1
2009-07-08,0.0,1
2009-07-09,0.0,1
2009-07-13,0.0,1
2009-07-31,0.0,1
2009-08-05,-0.9995261430740356,1
2009-08-07,0.0,1
2009-08-11,-0.9765698313713074,1
2009-08-13,0.0,1
2009-08-14,0.0,1
2009-08-19,0.0,1
2009-08-31,0.0,1
2009-09-01,0.0,1
2009-09-02,0.0,1
2009-09-08,1.0,1
2009-09-09,0.5028339624404907,1
2009-09-10,0.0,1
2009-09-11,0.49999988079071045,2
2009-09-14,-0.7522615194320679,1
2009-09-16,0.0,1
2009-09-18,-0.5661606192588806,1
2009-09-22,0.49999988079071045,2
2009-09-23,0.6249691247940063,1
2009-09-25,-0.7848722338676453,1
2009-09-28,0.0,2
2009-09-30,0.0,1
2009-10-01,0.0,1
2009-10-06,0.4999999403953552,2
2009-10-07,0.9999984502792358,1
2009-10-08,0.502253532409668,1
2009-10-09,0.0,1
2009-10-12,0.0,1
2009-10-19,0.5491060018539429,1
2009-10-27,0.0,1
2009-10-28,0.0,1
2009-10-30,0.0,1
2009-11-05,-0.4997657537460327,2
2009-11-09,0.0,1
2009-11-12,-0.9999654293060303,1
